n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
"[120, 80]",0.00019306977288832496,0.0005,0.0005,0.2,0.7,sigmoid,adamw,0.001,32,glorot,"(-0.05, 0.05)",150,2.626293383200645,3.012984748216238,144
"[200, 200]",0.0007196856730011522,1e-05,0.001,0.2,0.8,sigmoid,adamw,0.001,64,glorot,"(-0.05, 0.05)",50,0.34644352746101803,1.1709312983426812,145
"[200, 200]",0.0007196856730011522,0.0001,1e-05,0.1,0.7,relu,rprop_prev_grad,0.001,64,xavier,"(-0.05, 0.05)",50,13.477663526276514,7.655105645431791,146
"[80, 60]",0.0005179474679231213,0.0001,0.001,0.0,0.9,relu,quickprop,0.0001,32,orthogonal,"(-0.05, 0.05)",150,17.616086667310334,8.54681683708024,147
"[80, 60]",0.0005179474679231213,0.01,0.0005,0.2,0.7,sigmoid,sgd,0.001,16,orthogonal,"(-0.05, 0.05)",150,2.00609327122703,3.089146612146971,148
"[60, 60]",0.0003727593720314938,0.002,0.0005,0.3,0.7,leaky_relu,quickprop,0.0,8,he,"(-0.05, 0.05)",100,20.83218387594016,9.225528717880847,149
"[80, 60]",0.001,0.0,0.0005,0.2,0.9,sigmoid,rprop_prev_grad,0.001,32,glorot,"(-0.05, 0.05)",150,17.227612742768464,8.533388868359369,150
"[200, 200]",0.00019306977288832496,0.002,0.0005,0.1,0.7,relu,adam,0.0,64,xavier,"(-0.05, 0.05)",150,0.18159105839746517,0.7732581942195951,1
"[150, 100, 50]",0.0005179474679231213,0.01,1e-05,0.1,0.9,sigmoid,sgd,0.0001,64,orthogonal,"(-0.05, 0.05)",100,2.8940875341980514,3.259862789612314,2
"[50, 50, 50]",0.00013894954943731373,1e-05,0.0005,0.0,0.8,elu,rprop_prev_grad,0.0001,16,range,"(-0.05, 0.05)",50,26.48765189529008,10.529329938617725,3
"[120, 80]",0.0001,0.002,0.0,0.1,0.8,relu,adam,0.0001,16,glorot,"(-0.05, 0.05)",50,0.204708774784954,0.9263889505714853,4
