n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[3],0.01,0.0,0.002,0.0,0.9,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6917829452523296,0.4
[3],0.01,0.0,0.002,0.0,0.9,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4419638594681554,0.72
[3],0.01,0.0,0.002,0.0,0.9,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.5871425637720732,0.68
[3],0.01,0.0,0.002,0.0,0.9,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.2949735517557176,0.88
[3],0.01,0.0,0.002,0.0,0.9,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.4140957407732089,0.8
[3],0.01,0.0,0.002,0.1,0.8,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5598774597653251,0.84
[3],0.01,0.0,0.002,0.1,0.8,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5815118998289163,0.72
[3],0.01,0.0,0.002,0.1,0.8,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6169021371516633,0.68
[3],0.01,0.0,0.002,0.1,0.8,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5772355777688009,0.84
[3],0.01,0.0,0.002,0.1,0.8,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4921057590268497,0.8
[3],0.01,0.0,0.002,0.1,0.8,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.40909978579107326,0.88
[3],0.01,0.0,0.002,0.1,0.8,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.5088964057028097,0.84
[3],0.01,0.0,0.002,0.1,0.8,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.5010369258407921,0.76
[3],0.01,0.0,0.002,0.1,0.8,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6921743466255453,0.48
[3],0.01,0.0,0.002,0.1,0.8,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.7184077900904849,0.48
[3],0.01,0.0,0.002,0.1,0.8,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6466475683672227,0.76
[3],0.01,0.0,0.002,0.1,0.8,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5802481260428294,0.76
[3],0.01,0.0,0.002,0.1,0.8,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.41567062682225187,0.76
[3],0.01,0.0,0.002,0.1,0.8,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.24756836515105315,0.96
[3],0.01,0.0,0.002,0.1,0.8,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.44333162258638203,0.8
[3],0.01,0.0,0.002,0.1,0.8,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.406139639597968,0.8
[3],0.01,0.0,0.002,0.1,0.9,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5973937989092226,0.76
[3],0.01,0.0,0.002,0.1,0.9,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5004275957366686,0.84
[3],0.01,0.0,0.002,0.1,0.9,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.5342366416921261,0.84
[3],0.01,0.0,0.002,0.1,0.9,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5174921741981019,0.76
[3],0.01,0.0,0.002,0.1,0.9,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.49881969360343825,0.76
[3],0.01,0.0,0.002,0.1,0.9,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.5134245316338573,0.72
[3],0.01,0.0,0.002,0.1,0.9,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.5185388153400805,0.88
[3],0.01,0.0,0.002,0.1,0.9,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.42260115475135,0.8
[3],0.01,0.0,0.002,0.1,0.9,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5550265197020823,0.72
[3],0.01,0.0,0.002,0.1,0.9,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.46614284717099336,0.84
[3],0.01,0.0,0.002,0.1,0.9,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6368644439911232,0.68
[3],0.01,0.0,0.002,0.1,0.9,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.4994111546903235,0.84
[3],0.01,0.0,0.002,0.1,0.9,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.43503398301829804,0.84
[3],0.01,0.0,0.002,0.1,0.9,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.3762500471093036,0.76
[3],0.01,0.0,0.002,0.1,0.9,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.4266013510556071,0.8
[3],0.01,0.0,0.002,0.1,0.9,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.42236105088757225,0.84
[3],0.01,0.0,0.002,0.2,0.8,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5795352062127512,0.68
[3],0.01,0.0,0.002,0.2,0.8,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.6949731133456105,0.56
[3],0.01,0.0,0.002,0.2,0.8,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.5899349182951419,0.72
[3],0.01,0.0,0.002,0.2,0.8,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.508820589728024,0.8
[3],0.01,0.0,0.002,0.2,0.8,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4400458402903925,0.8
[3],0.01,0.0,0.002,0.2,0.8,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.5477900612199572,0.72
[3],0.01,0.0,0.002,0.2,0.8,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.484026587272089,0.76
[3],0.01,0.0,0.002,0.2,0.8,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.48064032133827433,0.8
[3],0.01,0.0,0.002,0.2,0.8,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6944028804032782,0.56
[3],0.01,0.0,0.002,0.2,0.8,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.6337364143197731,0.6
[3],0.01,0.0,0.002,0.2,0.8,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6650979979815227,0.44
[3],0.01,0.0,0.002,0.2,0.8,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6004432425177616,0.72
[3],0.01,0.0,0.002,0.2,0.8,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4530717520929115,0.84
[3],0.01,0.0,0.002,0.2,0.8,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.388613402913916,0.8
[3],0.01,0.0,0.002,0.2,0.8,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.4348605800620469,0.8
[3],0.01,0.0,0.002,0.2,0.8,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.4559089342082529,0.76
[3],0.01,0.0,0.002,0.2,0.9,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5188673486846367,0.84
[3],0.01,0.0,0.002,0.2,0.9,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5076607132098921,0.84
[3],0.01,0.0,0.002,0.2,0.9,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.570006293902228,0.84
[3],0.01,0.0,0.002,0.2,0.9,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5511978385767372,0.8
[3],0.01,0.0,0.002,0.2,0.9,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.47193546929828256,0.84
[3],0.01,0.0,0.002,0.2,0.9,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.4594671681409345,0.8
[3],0.01,0.0,0.002,0.2,0.9,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.45687195545502135,0.84
