n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[3],0.01,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.1237634873716179,0.56,136
[4],0.01,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12438588379346179,0.48,137
[4],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.05680490660825069,0.84,138
[4],0.16,0.0,0.0,0.25,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.015183979594920145,1.0,139
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.04013007695617901,0.92,140
[3],0.01,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.12588852641261883,0.4,141
[3],0.16,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.04069364427337475,0.92,142
[3],0.01,0.0,0.0,0.1,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12750755721533596,0.4,144
[4],0.01,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.08733462841391645,0.84,145
[3],0.16,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.06570171228050953,0.88,146
[4],0.01,0.0,0.0,0.25,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.09774577172362649,0.76,147
[4],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.016433725784414654,1.0,148
[3],0.01,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.12388384558992134,0.4,151
[4],0.01,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12370076396162466,0.52,152
[4],0.01,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.07929334054578878,0.84,153
[4],0.01,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.11060654878256536,0.68,155
[4],0.16,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.06975557696617055,0.84,156
[3],0.16,0.0,0.0,0.25,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.04096037772494991,0.92,159
[4],0.16,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.02781632425712212,0.96,161
[4],0.01,0.0,0.0,0.1,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12077342492040051,0.48,162
[3],0.01,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.12713935776670643,0.4,163
[3],0.01,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.1272359710202159,0.4,164
[3],0.01,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.12601689598290255,0.48,165
