n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[4],0.16999999999999998,0.012,0.008,0.25,0.2,sigmoid,sgd,0.0,64,range,"(-0.7, 0.7)",20,0.12542981387526045,0.6,79
[6],0.18999999999999997,0.004,0.002,0.15000000000000002,0.4,tanh,adam,0.0,64,he,"(-0.7, 0.7)",30,0.05443576533137484,1.0,80
[4],0.03,0.014,0.004,0.2,0.4,tanh,adam,0.03,32,xavier,"(-0.5, 0.5)",20,0.07610316415497974,0.88,81
[3],0.06999999999999999,0.012,0.008,0.1,0.4,tanh,sgd,0.03,32,gaussian,"(-0.7, 0.7)",30,0.14258776930948477,0.6,82
[3],0.18999999999999997,0.014,0.004,0.05,0.5,sigmoid,sgd,0.04,32,xavier,"(-0.7, 0.7)",20,0.12339832913083174,0.6,83
[3],0.08999999999999998,0.014,0.0,0.2,0.5,sigmoid,sgd,0.02,32,glorot,"(-0.1, 0.1)",20,0.11948754137726207,0.64,84
[4],0.16999999999999998,0.01,0.008,0.2,0.4,sigmoid,adam,0.03,32,he,"(-0.1, 0.1)",20,0.12170869364464097,0.72,85
[3],0.049999999999999996,0.006,0.006,0.2,0.5,sigmoid,adam,0.0,32,range,"(-0.1, 0.1)",20,0.1060198780949109,0.76,86
[5],0.08999999999999998,0.018000000000000002,0.006,0.25,0.5,sigmoid,sgd,0.03,8,range,"(-0.7, 0.7)",20,0.11532051142861578,0.72,87
[4],0.03,0.014,0.004,0.25,0.6000000000000001,sigmoid,sgd,0.0,8,he,"(-0.5, 0.5)",20,0.11248617439593502,0.64,88
[3],0.06999999999999999,0.016,0.002,0.15000000000000002,0.7000000000000001,tanh,adam,0.04,16,glorot,"(-0.7, 0.7)",20,0.04827079792383908,1.0,89
[6],0.18999999999999997,0.012,0.004,0.0,0.5,sigmoid,adam,0.03,16,he,"(-0.1, 0.1)",30,0.11085503534688824,1.0,90
[5],0.16999999999999998,0.01,0.0,0.15000000000000002,0.4,sigmoid,sgd,0.03,8,xavier,"(-0.7, 0.7)",30,0.09189641062491408,0.84,91
[3],0.01,0.01,0.002,0.05,0.30000000000000004,sigmoid,sgd,0.04,16,xavier,"(-0.5, 0.5)",20,0.12540746232465863,0.64,92
[3],0.08999999999999998,0.004,0.002,0.2,0.4,sigmoid,sgd,0.0,16,gaussian,"(-0.5, 0.5)",20,0.12888287244214386,0.44,93
[5],0.01,0.004,0.004,0.0,0.2,tanh,sgd,0.0,64,glorot,"(-0.5, 0.5)",30,0.12889169942036524,0.52,94
[3],0.15,0.016,0.002,0.2,0.0,tanh,adam,0.0,8,glorot,"(-0.5, 0.5)",20,0.07800501478563826,0.96,95
[3],0.15,0.014,0.0,0.0,0.5,sigmoid,sgd,0.01,32,range,"(-0.7, 0.7)",30,0.11530406602529028,0.68,96
[5],0.12999999999999998,0.018000000000000002,0.008,0.1,0.7000000000000001,tanh,sgd,0.0,16,glorot,"(-0.5, 0.5)",20,0.05339152534015182,1.0,97
[6],0.10999999999999997,0.014,0.006,0.15000000000000002,0.1,tanh,adam,0.02,32,he,"(-0.1, 0.1)",30,0.06600670266358823,1.0,98
[6],0.03,0.002,0.0,0.0,0.6000000000000001,sigmoid,adam,0.01,8,range,"(-0.7, 0.7)",30,0.04665883758487464,0.88,99
[5],0.03,0.012,0.004,0.25,0.6000000000000001,sigmoid,adam,0.04,32,he,"(-0.1, 0.1)",30,0.10575691335471178,0.84,100
[4],0.049999999999999996,0.014,0.002,0.0,0.5,tanh,sgd,0.02,16,glorot,"(-0.7, 0.7)",30,0.07210226622970664,0.8,1
[3],0.18999999999999997,0.008,0.0,0.05,0.4,tanh,adam,0.02,8,xavier,"(-0.1, 0.1)",30,0.04593673642443819,1.0,2
[6],0.03,0.004,0.0,0.0,0.8,sigmoid,adam,0.03,64,he,"(-0.1, 0.1)",20,0.08435586926759372,0.68,3
[5],0.10999999999999997,0.018000000000000002,0.008,0.0,0.0,sigmoid,sgd,0.04,8,gaussian,"(-0.5, 0.5)",20,0.14057543568033795,0.56,4
[6],0.15,0.018000000000000002,0.006,0.15000000000000002,0.4,sigmoid,sgd,0.02,64,gaussian,"(-0.5, 0.5)",30,0.15029806533007764,0.48,5
[6],0.16999999999999998,0.008,0.0,0.05,0.6000000000000001,sigmoid,sgd,0.01,32,xavier,"(-0.1, 0.1)",20,0.09299249453082048,0.68,6
[5],0.10999999999999997,0.002,0.0,0.15000000000000002,0.6000000000000001,sigmoid,sgd,0.03,16,range,"(-0.7, 0.7)",30,0.09909916578675632,0.68,7
